                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Scott Kingery                    2b  31  .250  .250  .250  .500    12   3   0   0   0   0   0   0   0   4 
Vimael Machin*                   3b  31  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Ryan O'Hearn*                    1b  31  .341  .400  .659 1.059    41  14   4   0   3  12   1   3   0  12 
Ryan O'Hearn*                    1b  31  .232  .328  .339  .667    56  13   4   1   0   3   2   6   0  15 
Pablo Reyes                      2b  31  .125  .222  .125  .347    16   2   0   0   0   2   0   2   0   5 
Brett Sullivan*                  c   31  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Ramon Urias                      2b  31  .229  .289  .457  .747    35   8   2   0   2   6   0   3   0  13 
Ramon Urias                      3b  31  .278  .338  .403  .740    72  20   3   0   2  10   0   7   0  18 
LaMonte Wade*                    1b  31  .000  .188  .000  .188    13   0   0   0   0   0   0   3   0   3 
LaMonte Wade*                    rf  31  .182  .250  .182  .432    11   2   0   0   0   1   0   1   0   3 
Donovan Walton*                  2b  31  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   0 
Jorge Alfaro                     c   32  .444  .444  .556 1.000     9   4   1   0   0   1   0   0   0   3 
Greg Allen#                      cf  32  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Dairon Blanco                    cf  32  .200  .200  .400  .600     5   1   1   0   0   1   0   0   0   2 
J.D. Davis                       1b  32  .000  .000  .000  .000     1   0   0   0   0   0   0   0   0   0 
Aramis Garcia                    c   32  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Connor Joe                       rf  32  .172  .265  .207  .472    29   5   1   0   0   2   1   3   0   5 
Connor Joe                       1b  32  .000  .167  .000  .167     5   0   0   0   0   0   0   1   0   3 
Dylan Moore                      2b  32  .167  .265  .325  .590   114  19   0   0   6  13   1  15   0  50 
Dylan Moore                      2b  32  .149  .257  .309  .565    94  14   0   0   5   9   0  14   0  44 
Dylan Moore                      2b  32  .250  .304  .400  .704    20   5   0   0   1   4   1   1   0   6 
Austin Slater                    rf  32  .261  .338  .522  .859    69  18   1   1   5   8   0   8   0  17 
Austin Slater                    lf  32  .063  .063  .063  .125    16   1   0   0   0   0   0   0   0  11 
Garrett Stubbs*                  c   32  .000  .000  .000  .000     1   0   0   0   0   0   0   0   0   0 
Adam Frazier*                    2b  33  .160  .250  .200  .450    25   4   1   0   0   2   1   2   0   8 
Adam Frazier*                    2b  33  .229  .289  .429  .718    35   8   4   0   1   6   1   2   0  13 
Randal Grichuk                   rf  33  .228  .267  .368  .635    57  13   2   0   2   5   0   3   0  15 
Randal Grichuk                   dh  33  .226  .276  .461  .737   115  26  10   1   5  13   0   8   1  29 
Enrique Hernandez                3b  33  .202  .269  .415  .683    94  19   2   0   6  22   0  10   0  24 
Omar Narvaez*                    c   33  .000  .000  .000  .000     3   0   0   0   0   0   0   0   0   1 
Eddie Rosario*                   rf  33  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Eddie Rosario*                   rf  33  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Eddie Rosario*                   rf  33  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Eugenio Suarez                   3b  33  .141  .236  .297  .533    64   9   4   0   2   5   1   7   1  27 
Eugenio Suarez                   3b  33  .179  .277  .558  .835    95  17   3   0  11  18   1  13   0  30 
Gio Urshela                      3b  33  .220  .298  .317  .615    41   9   4   0   0   2   0   5   0  12 
Tyler Heineman#                  c   34  .395  .449  .558 1.007    43  17   4   0   1   8   2   3   0   6 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                        -------------------Versus Left-handed Pitchers------------------- 
Name                     Team     P Age   AVG   OBP   SPC   OPS    AB   H  2B  3B  HR RBI HBP  BB IBB   K 
Travis Jankowski*                rf  34  .286  .286  .286  .571     7   2   0   0   0   0   0   0   0   2 
Travis Jankowski*                rf  34  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Travis Jankowski*                rf  34  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Travis Jankowski*                rf  34  .286  .286  .286  .571     7   2   0   0   0   0   0   0   0   2 
Chris Taylor                     rf  34  .118  .167  .147  .314    34   4   1   0   0   1   0   2   0  12 
Chris Taylor                     lf  34  .250  .250  .333  .583    12   3   1   0   0   0   0   0   0   4 
Chris Taylor                     rf  34  .045  .125  .045  .170    22   1   0   0   0   1   0   2   0   8 
Austin Wynns                     c   34  .250  .263  .417  .680    36   9   3   0   1   4   0   1   0  14 
Austin Wynns                     c   34  .308  .308  .615  .923    13   4   1   0   1   2   0   0   0   4 
Austin Wynns                     c   34  .217  .240  .304  .544    23   5   2   0   0   2   0   1   0  10 
Mike Yastrzemski*                rf  34  .145  .181  .217  .398    69  10   2   0   1   5   1   2   0  20 
Mike Yastrzemski*                rf  34  .120  .258  .240  .498    25   3   0   0   1   4   0   5   0   2 
Jon Berti                        3b  35  .207  .233  .207  .440    29   6   0   0   0   0   0   1   0   3 
Rob Brantly*                     c   35  .429  .429  .429  .857     7   3   0   0   0   1   0   0   0   1 
Jason Heyward*                   lf  35  .364  .417  .364  .780    11   4   0   0   0   0   0   1   0   2 
Nick Martini*                    dh  35  .000  .200  .000  .200     4   0   0   0   0   0   0   1   0   0 
Austin Nola                      c   35  .000  .200  .000  .200     4   0   0   0   0   0   0   1   0   0 
Jacob Stallings                  c   35  .167  .167  .167  .333     6   1   0   0   0   0   0   0   0   2 
Jacob Stallings                  c   35  .031  .088  .031  .119    32   1   0   0   0   0   0   2   0  16 
Sandy Leon#                      c   36  .000  .000  .000  .000     4   0   0   0   0   1   0   0   0   1 
Donovan Solano                   1b  37  .181  .212  .245  .457    94  17   1   1   1   8   1   3   0  24 
Donovan Solano                   2b  37  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Carlos Santana#                  1b  39  .182  .182  .273  .455    11   2   1   0   0   2   0   0   0   3 
Carlos Santana#                  1b  39  .235  .328  .353  .681   119  28   2   0   4  17   0  17   1  23 
Yuli Gurriel                     dh  41  .120  .185  .160  .345    25   3   1   0   0   2   0   2   0   4 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                        -------------------Versus Right-handed Pitchers------------------ 
Name                     Team     P Age   AVG   OBP   SPC   OPS    AB   H  2B  3B  HR RBI HBP  BB IBB   K 
Samuel Basallo*                  c   20  .170  .215  .341  .556    88  15   6   0   3  14   2   3   0  25 
Bryce Eldridge*                  dh  20  .115  .314  .192  .507    26   3   2   0   0   4   1   7   0  13 
Roman Anthony*                   rf  21  .299  .424  .479  .903   167  50  16   1   4  21   5  32   0  46 
Moises Ballesteros*              dh  21  .309  .387  .491  .878    55  17   2   1   2  11   0   7   1  10 
Denzer Guzman                    ss  21  .235  .257  .441  .698    34   8   1   0   2   3   0   1   0  17 
Carter Jensen*                   dh  21  .333  .418  .646 1.064    48  16   6   0   3  13   0   7   0  12 
Sal Stewart                      1b  21  .250  .294  .521  .815    48  12   1   0   4   6   0   3   0  14 
Cole Young*                      2b  21  .207  .298  .299  .597   164  34   3   0   4  19   1  21   1  33 
Maximo Acosta                    3b  22  .216  .293  .486  .779    37   8   1   0   3   4   0   4   0  10 
Jac Caglianone*                  rf  22  .148  .230  .262  .492   149  22   5   0   4  13   2  14   0  37 
Owen Caissie*                    rf  22  .192  .222  .346  .568    26   5   1   0   1   4   0   1   0  11 
Yanquiel Fernandez*              dh  22  .217  .261  .341  .602   129  28   4   0   4  11   0   8   0  42 
Harry Ford                       c   22  .333  .500  .333  .833     3   1   0   0   0   0   1   0   0   1 
Jhostynxon Garcia                rf  22  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Brady House                      3b  22  .242  .260  .346  .607   182  44   7   0   4  25   0   6   0  52 
Kyle Karros                      3b  22  .255  .336  .302  .638   106  27   2   0   1   9   2  12   0  33 
Luke Keaschall                   2b  22  .366  .447  .528  .975   123  45  11   0   3  21   2  16   0  14 
Nick Kurtz*                      1b  22  .336  .439  .714 1.153   283  95  22   2  27  64   1  51   3  97 
Daylen Lile*                     rf  22  .312  .359  .532  .891   250  78  14  10   7  37   2  18   0  39 
Marcelo Mayer*                   3b  22  .248  .294  .446  .739   101  25   8   0   4   9   0   7   0  31 
Christian Moore                  2b  22  .180  .284  .311  .595   122  22   2   1   4  10   1  17   0  48 
Max P. Muncy                     3b  22  .217  .256  .404  .659   166  36   7   0   8  22   3   6   0  54 
Alejandro Osuna*                 lf  22  .221  .319  .286  .605   140  31   3   0   2  13   1  20   1  31 
Edgar Quero#                     c   22  .220  .301  .301  .602   236  52   7   0   4  22   3  25   0  48 
Cam Smith                        rf  22  .227  .292  .325  .617   326  74  13   2   5  34   4  26   0  99 
Carson Williams                  ss  22  .167  .191  .303  .494    66  11   3   0   2   8   0   2   0  29 
Dylan Beavers*                   lf  23  .244  .387  .411  .798    90  22   4   1   3  10   0  21   0  32 
Warming Bernabel                 1b  23  .245  .291  .418  .709   110  27   8   1   3   9   0   7   0  23 
Kristian Campbell                2b  23  .228  .302  .357  .658   171  39   7   0   5  15   1  17   0  57 
Tsung-Che Cheng*                 ss  23  .000  .000  .000  .000     6   0   0   0   0   0   0   0   0   2 
Jimmy Crooks*                    c   23  .108  .132  .162  .294    37   4   0   1   0   0   1   0   0  15 
Alex Freeland#                   3b  23  .200  .300  .343  .643    70  14   2   1   2   6   1   9   0  27 
Petey Halpin*                    cf  23  .200  .429  .200  .629     5   1   0   0   0   0   0   2   0   2 
Robert Hassell*                  cf  23  .222  .250  .327  .577   162  36   8   0   3  16   0   6   0  49 
C.J. Kayfus*                     rf  23  .225  .304  .422  .726   102  23   9   1   3  17   1  11   0  31 
Brice Matthews                   2b  23  .219  .265  .594  .858    32   7   0   0   4   9   1   1   0  14 
Chase Meidroth                   ss  23  .242  .320  .310  .630   310  75  12   0   3  18   6  30   0  45 
Victor Mesa*                     rf  23  .136  .269  .227  .497    22   3   2   0   0   3   0   4   0   4 
Colson Montgomery*               ss  23  .242  .320  .567  .887   178  43   5   1  17  44   1  20   1  66 
Kyren Paris                      cf  23  .178  .248  .336  .584   107  19   3   1   4   9   1   9   0  51 
Agustin Ramirez                  c   23  .238  .289  .432  .720   387  92  30   0  15  53   6  23   0  70 
Matt Shaw                        3b  23  .218  .287  .362  .649   293  64  17   2   7  30   2  28   0  72 
Kyle Teel*                       c   23  .290  .388  .448  .835   210  61   9   0   8  34   4  30   0  57 
Zac Veen*                        rf  23  .154  .185  .308  .493    26   4   1   0   1   2   1   0   0  12 
Drake Baldwin*                   c   24  .267  .336  .472  .808   318  85  16   2  15  63   2  31   0  53 
Jorge Barrosa#                   cf  24  .125  .121  .156  .277    32   4   1   0   0   2   0   0   0  11 
Nathan Church*                   cf  24  .114  .216  .182  .398    44   5   0   0   1   4   3   3   0  14 
Zach Cole*                       rf  24  .282  .317  .641  .958    39  11   2   0   4  11   0   2   0  16 
Rafael Flores                    1b  24  .286  .375  .429  .804     7   2   1   0   0   0   0   1   0   2 
Cody Freeman                     2b  24  .250  .292  .324  .615    68  17   2   0   1  10   0   4   0  11 
Drew Gilbert*                    rf  24  .207  .267  .390  .657    82  17   4   1   3  12   1   6   0  15 
Matthew Lugo                     cf  24  .192  .208  .423  .631    52  10   1   1   3   5   1   0   0  20 
Jakob Marsee*                    cf  24  .274  .359  .437  .797   135  37  10   3   2  21   2  16   0  30 
Ronny Mauricio#                  3b  24  .265  .336  .447  .783   132  35   6   0   6  10   1  13   1  40 
Curtis Mead                      3b  24  .253  .295  .313  .609    83  21   5   0   0  10   4   1   0  25 
Curtis Mead                      2b  24  .267  .340  .467  .807    45  12   1   1   2   6   0   5   0  15 
Jacob Melton*                    cf  24  .161  .242  .196  .438    56   9   0   1   0   6   1   5   0  24 
Graham Pauley*                   3b  24  .224  .300  .371  .671   143  32   7   1   4  11   0  16   0  34 
Liover Peguero                   ss  24  .192  .236  .327  .563    52  10   1   0   2   4   1   2   0  14 
Ryan Ritter                      ss  24  .224  .287  .327  .614   147  33   6   3   1  13   4   9   0  52 
Dalton Rushing*                  c   24  .215  .263  .374  .637   107  23   5   0   4  18   0   7   0  43 
Chandler Simpson*                cf  24  .293  .324  .362  .686   307  90  15   3   0  20   0  15   0  34 
Colby Thomas                     rf  24  .203  .226  .237  .463    59  12   2   0   0   3   1   1   0  24 
George Valera*                   dh  24  .250  .372  .472  .844    36   9   2   0   2   5   0   7   0  13 
Jorbit Vivas*                    2b  24  .157  .259  .235  .494    51   8   1   0   1   5   3   4   0  13 
Ben Williamson                   3b  24  .250  .280  .307  .587   192  48   8   0   1  17   0   8   0  45 
Jordyn Adams                     cf  25  .000  .000  .000  .000     4   0   0   0   0   0   0   0   0   2 
Will Banfield                    c   25  .111  .111  .111  .222     9   1   0   0   0   0   0   0   0   6 
Tyler Callihan*                  lf  25  .167  .167  .167  .333     6   1   0   0   0   1   0   0   0   1 
Alexander Canario                lf  25  .239  .294  .333  .627   117  28   3   1   2  11   0   9   0  43 
Denzel Clarke                    cf  25  .242  .283  .358  .642   120  29   6   1   2   6   3   4   0  49 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                        -------------------Versus Right-handed Pitchers------------------ 
Name                     Team     P Age   AVG   OBP   SPC   OPS    AB   H  2B  3B  HR RBI HBP  BB IBB   K 
Kenedy Corona                    cf  25  .000  .333  .000  .333     2   0   0   0   0   0   0   1   0   1 
Caleb Durbin                     3b  25  .255  .337  .385  .722   325  83  21   0   7  40  19  23   0  43 
Dustin Harris*                   lf  25  .211  .268  .368  .637    38   8   3   0   1   2   0   3   0  12 
Heriberto Hernandez              lf  25  .270  .347  .439  .786   148  40   5   1   6  30   3  16   0  41 
Jeremiah Jackson                 rf  25  .283  .333  .458  .792   120  34   7   1   4  13   2   7   0  32 
Jarred Kelenic*                  rf  25  .185  .254  .333  .588    54  10   2   0   2   2   0   5   0  19 
Otto Kemp                        3b  25  .235  .285  .386  .671   132  31   8   0   4  19   5   5   0  41 
Jonathan Ornelas                 3b  25  .333  .333  .333  .667     3   1   0   0   0   0   0   0   0   0 
Jonathan Ornelas                 ss  25  .000  .000  .000  .000     4   0   0   0   0   0   0   0   0   3 
Tirso Ornelas*                   lf  25  .071  .188  .071  .259    14   1   0   0   0   1   0   2   0   2 
Oswald Peraza                    3b  25  .190  .247  .298  .545   168  32   3   0   5  18   2  11   0  51 
Oswald Peraza                    1b  25  .224  .274  .328  .602    67  15   1   0   2   7   1   4   0  26 
Oswald Peraza                    3b  25  .168  .229  .277  .507   101  17   2   0   3  11   1   7   0  25 
Tristan Peters*                  cf  25  .000  .000  .000  .000    10   0   0   0   0   0   0   0   0   5 
Alan Roden*                      lf  25  .200  .252  .296  .548   115  23   6   1   1   8   4   5   0  34 
Alan Roden*                      lf  25  .148  .148  .185  .333    27   4   1   0   0   0   0   0   0  11 
Alan Roden*                      lf  25  .216  .280  .330  .610    88  19   5   1   1   8   4   5   0  23 
Johnathan Rodriguez              rf  25  .095  .136  .143  .279    21   2   1   0   0   1   0   1   0   7 
Ronny Simon#                     2b  25  .246  .311  .292  .603    65  16   3   0   0   6   0   7   0  13 
Ronny Simon#                     rf  25  .222  .241  .259  .501    27   6   1   0   0   2   0   1   0   7 
Ronny Simon#                     2b  25  .263  .356  .316  .671    38  10   2   0   0   4   0   6   0   6 
Rhylan Thomas*                   rf  25  .125  .222  .250  .472     8   1   1   0   0   1   0   1   0   0 
Luis Vazquez                     ss  25  .167  .259  .208  .468    24   4   1   0   0   1   0   3   0   6 
Gage Workman*                    3b  25  .200  .250  .267  .517    15   3   1   0   0   2   0   1   0   7 
Gage Workman*                    3b  25  .231  .286  .308  .593    13   3   1   0   0   2   0   1   0   6 
Gage Workman*                    3b  25  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Akil Baddoo*                     lf  26  .067  .125  .067  .192    15   1   0   0   0   0   0   1   0   5 
Steward Berroa#                  cf  26  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Dylan Carlson#                   lf  26  .201  .290  .362  .652   149  30   7   1   5  15   2  17   0  35 
Billy Cook                       cf  26  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Blake Dunn                       rf  26  .147  .275  .235  .510    34   5   0   0   1   3   3   3   0  12 
Tim Elko                         1b  26  .146  .212  .354  .566    48   7   1   0   3   7   0   4   0  17 
Justin Foscue                    1b  26  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Braxton Fulford                  c   26  .174  .234  .246  .480    69  12   2   0   1   9   2   4   0  26 
Liam Hicks*                      c   26  .256  .349  .367  .715   281  72  11   1   6  40   6  35   0  46 
Niko Kavadas*                    1b  26  .125  .263  .125  .388    16   2   0   0   0   0   0   3   0   7 
Buddy Kennedy                    3b  26  .000  .091  .000  .091    10   0   0   0   0   0   1   0   0   2 
Buddy Kennedy                    3b  26  .000  .100  .000  .100     9   0   0   0   0   0   1   0   0   1 
Buddy Kennedy                    1b  26  .000  .000  .000  .000     1   0   0   0   0   0   0   0   0   1 
Buddy Kennedy                    3b  26  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Hyeseong Kim*                    2b  26  .264  .304  .357  .661   140  37   5   1   2  14   1   7   0  44 
Cesar Prieto*                    2b  26  .167  .167  .167  .333     6   1   0   0   0   0   0   0   0   5 
Sebastian Rivero                 c   26  .172  .172  .241  .414    29   5   2   0   0   2   0   0   0   9 
Anthony Seigler*                 3b  26  .172  .279  .190  .469    58  10   1   0   0   5   1   8   0  15 
Bob Seymour*                     1b  26  .200  .262  .300  .562    60  12   1   1   1   5   1   4   0  21 
Chad Stevens                     2b  26  .200  .200  .200  .400    10   2   0   0   0   0   0   0   0   4 
Leody Taveras#                   rf  26  .158  .167  .263  .430    76  12   2   0   2   8   0   1   0  23 
Leody Taveras#                   cf  26  .227  .250  .348  .598    66  15   3   1   1   6   0   2   0  18 
Tim Tawa                         2b  26  .169  .262  .355  .617   124  21   5   0   6  11   1  15   0  40 
Samad Taylor                     rf  26  .000  .000  .000  .000     3   0   0   0   0   0   0   0   0   0 
Bryce Teodosio                   cf  26  .193  .238  .272  .510   114  22   5   2   0   4   3   4   0  38 
Ryan Vilade                      rf  26  .250  .250  .250  .500     4   1   0   0   0   0   0   0   0   1 
Ryan Vilade                      rf  26  .250  .250  .250  .500     4   1   0   0   0   0   0   0   0   1 
Will Wagner*                     3b  26  .234  .341  .288  .629   111  26   6   0   0   7   2  16   0  24 
Will Wagner*                     2b  26  .091  .231  .091  .322    11   1   0   0   0   0   0   2   0   2 
Will Wagner*                     3b  26  .250  .353  .310  .663   100  25   6   0   0   7   2  14   0  22 
Drew Waters#                     lf  26  .265  .303  .355  .658   166  44   6   3   1  13   1   8   0  47 
Shay Whitcomb                    2b  26  .136  .136  .136  .273    22   3   0   0   0   0   0   0   0   9 
Joey Wiemer                      rf  26  .259  .259  .370  .630    27   7   0   0   1   4   0   0   0  11 
Will Wilson                      3b  26  .162  .225  .162  .387    37   6   0   0   0   1   0   3   0  16 
Jack Winkler                     2b  26  .333  .333  .333  .667     3   1   0   0   0   0   0   0   0   0 
Brett Wisely*                    2b  26  .000  .333  .000  .333     6   0   0   0   0   0   0   3   0   4 
Brett Wisely*                    2b  26  .200  .256  .350  .606    40   8   3   0   1   8   0   3   0   8 
Jose Barrero                     ss  27  .167  .211  .389  .599    18   3   1   0   1   3   1   0   0   6 
Vidal Brujan#                    ss  27  .242  .324  .273  .597    33   8   1   0   0   4   0   4   0   7 
Vidal Brujan#                    3b  27  .237  .250  .316  .566    38   9   3   0   0   2   0   1   0   7 
Vidal Brujan#                    cf  27 1.000 1.000 1.000 2.000     1   1   0   0   0   0   0   0   0   0 
Gustavo Campero#                 rf  27  .225  .354  .400  .754    40   9   1   0   2   5   3   5   0   9 
Isaac Collins#                   lf  27  .279  .389  .413  .802   247  69  14   2   5  36   2  43   0  63 
Logan Davidson#                  1b  27  .086  .135  .200  .335    35   3   1   0   1   2   0   2   0  21 
Logan Davidson#                  1b  27  .100  .100  .300  .400    20   2   1   0   1   2   0   0   0  10 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                        -------------------Versus Right-handed Pitchers------------------ 
Name                     Team     P Age   AVG   OBP   SPC   OPS    AB   H  2B  3B  HR RBI HBP  BB IBB   K 
Logan Davidson#                  1b  27  .067  .176  .067  .243    15   1   0   0   0   0   0   2   0  11 
Oliver Dunn*                     3b  27  .194  .235  .258  .493    31   6   2   0   0   5   0   2   0  10 
Oscar Gonzalez                   lf  27  .258  .281  .258  .539    31   8   0   0   0   2   0   1   0   5 
Matt Gorski                      1b  27  .222  .263  .389  .652    18   4   0   0   1   3   0   1   0   7 
Maverick Handley                 c   27  .081  .105  .081  .186    37   3   0   0   0   2   0   1   0  15 
Sam Huff                         c   27  .167  .225  .278  .503    36   6   1   0   1   2   0   3   0  17 
Jacob Hurtubise*                 lf  27  .091  .286  .091  .377    11   1   0   0   0   0   2   1   0   6 
Greg Jones#                      rf  27  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   2 
Jahmai Jones                     dh  27  .280  .357  .440  .797    25   7   2   1   0   6   0   3   0   4 
Carter Kieboom                   1b  27  .333  .333  .333  .667     6   2   0   0   0   1   0   0   0   1 
Christian Koss                   2b  27  .260  .298  .389  .687   131  34   8   0   3  21   1   7   0  28 
Ryan Kreidler                    cf  27  .120  .185  .120  .305    25   3   0   0   0   0   0   2   0  13 
Carson McCusker                  rf  27  .000  .000  .000  .000     5   0   0   0   0   0   0   0   0   4 
Drew Millas#                     c   27  .351  .400  .514  .914    37  13   4   1   0   5   0   3   0   2 
Kameron Misner*                  cf  27  .228  .287  .367  .654   158  36   8   1   4  19   0  14   0  53 
John Rave*                       lf  27  .185  .265  .311  .576   135  25   5   0   4  13   0  15   0  41 
Will Robertson*                  lf  27  .115  .169  .131  .300    61   7   1   0   0   7   2   2   0  24 
Will Robertson*                  lf  27  .132  .164  .151  .315    53   7   1   0   0   7   1   1   0  18 
Will Robertson*                  lf  27  .000  .200  .000  .200     8   0   0   0   0   0   1   1   0   6 
Ben Rortvedt*                    c   27  .222  .300  .361  .661    36   8   2   0   1   3   2   2   0   6 
Ben Rortvedt*                    c   27  .071  .175  .089  .264    56   4   1   0   0   4   0   7   0  13 
Jesus Sanchez*                   lf  27  .191  .259  .336  .595   131  25   7   0   4  12   0  12   0  35 
Jesus Sanchez*                   rf  27  .283  .348  .466  .814   251  71  11   4   9  32   0  26   1  54 
Tyler Tolbert                    cf  27  .368  .381  .368  .749    19   7   0   0   0   3   1   0   0   5 
Taylor Trammell*                 cf  27  .183  .277  .327  .604   104  19   6   0   3  12   0  14   0  36 
Andrew Vaughn                    1b  27  .197  .224  .317  .541   142  28   5   0   4  14   0   5   0  33 
Andrew Vaughn                    1b  27  .262  .315  .456  .772   149  39   8   0   7  28   2  12   0  29 
Sergio Alcantara#                3b  28  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   2 
CJ Alexander*                    1b  28  .188  .188  .188  .375    16   3   0   0   0   0   0   0   0   7 
Luken Baker                      dh  28  .000  .000  .000  .000     7   0   0   0   0   0   0   0   0   1 
David Banuelos                   c   28  .000 1.000  .000 1.000     0   0   0   0   0   0   1   0   0   0 
Jose Caballero                   ss  28  .259  .359  .370  .730    54  14   3   0   1   7   0   9   0  11 
Jose Caballero                   ss  28  .218  .317  .269  .586   156  34   8   0   0  13   2  21   0  51 
Daz Cameron                      rf  28  .222  .300  .222  .522     9   2   0   0   0   1   0   1   0   2 
Vinny Capra                      3b  28  .091  .146  .136  .282    44   4   2   0   0   2   0   3   0  11 
Vinny Capra                      ss  28  .190  .227  .286  .513    21   4   2   0   0   1   0   1   0   4 
Vinny Capra                      3b  28  .000  .077  .000  .077    23   0   0   0   0   1   0   2   0   7 
Willi Castro#                    rf  28  .186  .263  .267  .531    86  16   2   1   1   6   2   7   0  24 
Willi Castro#                    lf  28  .231  .335  .368  .703   212  49   9   1   6  16   6  27   1  65 
Carlos Cortes*                   rf  28  .303  .319  .551  .870    89  27   8   1   4  14   0   3   0  20 
Blaine Crim                      1b  28  .189  .271  .453  .724    53  10   2   0   4   7   1   5   0  25 
Blaine Crim                      1b  28  .000  .286  .000  .286     5   0   0   0   0   0   1   1   0   4 
Blaine Crim                      1b  28  .208  .269  .500  .769    48  10   2   0   4   7   0   4   0  21 
Justin Dean                      cf  28  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Cam Devanney                     3b  28  .091  .130  .136  .267    22   2   1   0   0   1   0   1   0  11 
Rafael Devers*                   dh  28  .260  .385  .524  .910   227  59  12   0  16  37   0  47   3  78 
Rafael Devers*                   dh  28  .256  .407  .500  .907   168  43  11   0  10  34   1  43   4  49 
Nate Eaton                       rf  28  .316  .350  .447  .797    38  12   2   0   1   3   0   2   0   9 
Tristin English                  1b  28  .111  .158  .167  .325    18   2   1   0   0   1   0   1   0   6 
Hunter Feduccia*                 c   28  .179  .321  .239  .560    67  12   4   0   0   8   0  15   0  18 
Hunter Feduccia*                 1b  28  .000  .333  .000  .333     2   0   0   0   0   0   0   1   0   1 
Hunter Feduccia*                 c   28  .185  .321  .246  .567    65  12   4   0   0   8   0  14   0  17 
Nick Fortes                      c   28  .280  .299  .427  .725    75  21   3   1   2   7   0   2   0  14 
Nick Fortes                      c   28  .158  .333  .316  .649    38   6   0   0   2   4   5   5   0  12 
Ke'Bryan Hayes                   3b  28  .235  .313  .348  .661   132  31   4   1   3  12   1  14   0  24 
Ke'Bryan Hayes                   3b  28  .245  .292  .305  .597   282  69   7   2   2  27   4  15   0  62 
Keston Hiura                     1b  28  .214  .353  .286  .639    14   3   1   0   0   0   3   0   0   5 
Troy Johnston*                   1b  28  .288  .345  .442  .787   104  30   2   1   4  13   1   8   0  23 
Connor Kaiser                    2b  28  .077  .143  .077  .220    13   1   0   0   0   1   0   1   0   3 
DaShawn Keirsey*                 rf  28  .119  .145  .209  .354    67   8   0   0   2   5   1   1   0  21 
Brandon Lockridge                lf  28  .254  .297  .284  .581    67  17   2   0   0   8   1   4   0  18 
Brandon Lockridge                lf  28  .255  .300  .298  .598    47  12   2   0   0   4   1   2   0  11 
Brandon Lockridge                rf  28  .250  .292  .250  .542    20   5   0   0   0   4   0   2   0   7 
Willie MacIver                   c   28  .182  .239  .258  .497    66  12   2   0   1   4   1   4   0  19 
Nick Maton*                      dh  28  .167  .274  .315  .589    54   9   2   0   2   4   0   8   0  19 
Owen Miller                      2b  28  .250  .333  .250  .583     8   2   0   0   0   1   0   1   0   2 
Coco Montes                      2b  28  .000  .000  .000  .000     2   0   0   0   0   0   0   0   0   1 
Josh Naylor*                     1b  28  .278  .326  .444  .770   133  37   7   0   5  25   2   8   0  20 
Josh Naylor*                     1b  28  .310  .390  .493  .884   229  71  15   0   9  38   1  31   4  29 
James Outman*                    cf  28  .125  .222  .344  .566    32   4   1   0   2   4   1   3   0  16 
James Outman*                    cf  28  .159  .243  .381  .624    63  10   3   1   3   6   1   6   0  29 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

                                        -------------------Versus Right-handed Pitchers------------------ 
Name                     Team     P Age   AVG   OBP   SPC   OPS    AB   H  2B  3B  HR RBI HBP  BB IBB   K 
Yohel Pozo                       c   28  .217  .254  .358  .612   120  26   5   0   4  13   0   6   0  16 
Ali Sanchez                      c   28  .000  .000  .000  .000     0   0   0   0   0   0   0   0   0   0 
Ali Sanchez                      c   28  .176  .176  .235  .412    17   3   1   0   0   0   0   0   0   5 
